ResponseID,MaxBiggestBarrier,Biggest_Barriers,MaxSmallestBarrier,Smallest_Barriers
449,4,Connectivity (internet connection),2,Lack of remote working skills
450,3,"IT equipment (computer, printer, etc.)",3,Management discourages remote working
451,4,Connectivity (internet connection),3,Lack of motivation
452,4,Management discourages remote working,2,Connectivity (internet connection)
453,4,Lack of motivation,3,Lack of motivation
454,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
455,4,Management discourages remote working,4,Feeling left out and/or isolated
456,3,Caring responsibilities,2,"My living situation (e.g. location, home size, who I live with)"
457,4,Connectivity (internet connection),4,Poor management
458,4,"My living situation (e.g. location, home size, who I live with)",4,Lack of motivation
459,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Poor management
460,4,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
461,4,Management discourages remote working,4,Lack of motivation
462,3,"My living situation (e.g. location, home size, who I live with)",3,Lack of motivation
463,3,Connectivity (internet connection),3,Caring responsibilities
464,4,Caring responsibilities,2,Poor management
465,3,Feeling left out and/or isolated,4,Poor management
466,3,Lack of motivation,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
467,4,"IT equipment (computer, printer, etc.)",3,Difficulty collaborating remotely
468,4,Management discourages remote working,3,"IT equipment (computer, printer, etc.)"
469,4,Difficulty collaborating remotely,4,"My living situation (e.g. location, home size, who I live with)"
470,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Connectivity (internet connection)
471,4,Poor management,4,Feeling left out and/or isolated
472,3,Lack of motivation,2,"My living situation (e.g. location, home size, who I live with)"
473,4,Feeling left out and/or isolated,4,Management discourages remote working
474,2,"My living situation (e.g. location, home size, who I live with)",3,Lack of motivation
475,3,"IT equipment (computer, printer, etc.)",3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
476,3,Management discourages remote working,4,Caring responsibilities
477,3,"IT equipment (computer, printer, etc.)",2,Poor management
478,3,Management discourages remote working,4,Lack of remote working skills
479,3,I have tasks that can't be done remotely,4,Caring responsibilities
480,4,Feeling left out and/or isolated,4,Caring responsibilities
481,3,Feeling left out and/or isolated,3,Connectivity (internet connection)
482,3,Connectivity (internet connection),3,Cyber security
483,3,"IT equipment (computer, printer, etc.)",4,Lack of motivation
484,3,My organisation's software and systems,4,"My living situation (e.g. location, home size, who I live with)"
485,3,Lack of motivation,4,I have tasks that can't be done remotely
486,2,Lack of remote working skills,3,Poor management
487,4,Poor management,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
488,3,"IT equipment (computer, printer, etc.)",4,Management discourages remote working
489,2,"My living situation (e.g. location, home size, who I live with)",2,Management discourages remote working
490,3,Difficulty collaborating remotely,4,Feeling left out and/or isolated
491,4,Lack of motivation,4,Poor management
492,3,Connectivity (internet connection),4,Lack of motivation
493,2,My organisation's software and systems,3,Lack of motivation
494,3,"My living situation (e.g. location, home size, who I live with)",2,Management discourages remote working
495,4,Caring responsibilities,4,"IT equipment (computer, printer, etc.)"
496,3,Feeling left out and/or isolated,3,Lack of motivation
497,3,Lack of motivation,4,Caring responsibilities
498,4,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
499,4,Connectivity (internet connection),4,Management discourages remote working
500,3,Management discourages remote working,4,Feeling left out and/or isolated
501,3,"My living situation (e.g. location, home size, who I live with)",3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
502,3,Poor management,2,My organisation's software and systems
503,2,I have tasks that can't be done remotely,4,Management discourages remote working
504,3,"My living situation (e.g. location, home size, who I live with)",4,Cyber security
505,3,"My living situation (e.g. location, home size, who I live with)",4,Feeling left out and/or isolated
506,2,Difficulty collaborating remotely,4,"My living situation (e.g. location, home size, who I live with)"
507,3,Feeling left out and/or isolated,4,"IT equipment (computer, printer, etc.)"
508,3,My organisation's software and systems,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
509,3,Feeling left out and/or isolated,3,"IT equipment (computer, printer, etc.)"
510,4,Feeling left out and/or isolated,3,Lack of motivation
511,4,Lack of motivation,3,Management discourages remote working
512,2,Lack of remote working skills,3,"My living situation (e.g. location, home size, who I live with)"
513,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Management discourages remote working
514,3,Poor management,4,Caring responsibilities
515,4,Lack of motivation,2,Poor management
516,3,Lack of motivation,3,My organisation's software and systems
517,3,Connectivity (internet connection),2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
518,3,Feeling left out and/or isolated,3,Lack of motivation
519,2,Difficulty collaborating remotely,2,I have tasks that can't be done remotely
520,5,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
521,3,Management discourages remote working,3,Caring responsibilities
522,3,Poor management,2,My organisation's software and systems
523,3,"My living situation (e.g. location, home size, who I live with)",4,Connectivity (internet connection)
524,4,Difficulty collaborating remotely,4,"My living situation (e.g. location, home size, who I live with)"
525,4,Feeling left out and/or isolated,4,Caring responsibilities
526,3,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
527,3,Difficulty collaborating remotely,3,My organisation's software and systems
528,4,Poor management,4,Connectivity (internet connection)
529,2,Poor management,2,"My living situation (e.g. location, home size, who I live with)"
530,4,Feeling left out and/or isolated,4,I have tasks that can't be done remotely
531,3,Connectivity (internet connection),4,Poor management
532,3,Connectivity (internet connection),4,My organisation's software and systems
533,4,Lack of motivation,4,Cyber security
534,4,Management discourages remote working,4,Feeling left out and/or isolated
535,2,My organisation's software and systems,2,Lack of motivation
536,2,Lack of remote working skills,2,Poor management
537,2,Management discourages remote working,2,My organisation's software and systems
538,4,Connectivity (internet connection),4,Feeling left out and/or isolated
539,4,Lack of motivation,4,Caring responsibilities
540,4,Poor management,4,Connectivity (internet connection)
541,3,Poor management,2,I have tasks that can't be done remotely
542,4,"IT equipment (computer, printer, etc.)",3,Caring responsibilities
543,2,"My living situation (e.g. location, home size, who I live with)",3,Lack of motivation
544,3,Lack of motivation,2,Lack of remote working skills
545,3,I have tasks that can't be done remotely,3,"My living situation (e.g. location, home size, who I live with)"
546,4,"IT equipment (computer, printer, etc.)",3,Lack of motivation
547,3,Connectivity (internet connection),4,Feeling left out and/or isolated
548,3,Caring responsibilities,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
549,4,Lack of motivation,3,Cyber security
550,4,Poor management,4,Connectivity (internet connection)
551,4,Poor management,4,Lack of motivation
552,3,Lack of motivation,4,Management discourages remote working
553,4,Connectivity (internet connection),4,Lack of remote working skills
554,3,Connectivity (internet connection),3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
555,3,Management discourages remote working,3,"My living situation (e.g. location, home size, who I live with)"
556,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,My organisation's software and systems
557,4,Management discourages remote working,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
558,3,Difficulty collaborating remotely,4,Lack of motivation
559,3,Difficulty collaborating remotely,3,My organisation's software and systems
560,5,Difficulty collaborating remotely,4,Caring responsibilities
561,3,Connectivity (internet connection),2,Poor management
562,4,Feeling left out and/or isolated,2,Management discourages remote working
563,3,Difficulty collaborating remotely,2,Lack of motivation
564,4,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
565,3,Lack of motivation,4,Connectivity (internet connection)
566,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Difficulty collaborating remotely
567,3,Management discourages remote working,4,Connectivity (internet connection)
568,3,Lack of motivation,3,Caring responsibilities
569,4,Difficulty collaborating remotely,3,"IT equipment (computer, printer, etc.)"
570,4,"My living situation (e.g. location, home size, who I live with)",4,Lack of motivation
571,3,Feeling left out and/or isolated,4,Caring responsibilities
572,3,Management discourages remote working,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
573,4,Poor management,4,"My living situation (e.g. location, home size, who I live with)"
574,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Caring responsibilities
575,4,Feeling left out and/or isolated,4,"My living situation (e.g. location, home size, who I live with)"
576,4,Poor management,3,Lack of motivation
577,4,Poor management,4,Connectivity (internet connection)
578,4,"IT equipment (computer, printer, etc.)",4,Lack of remote working skills
579,4,Difficulty collaborating remotely,4,Management discourages remote working
580,3,Difficulty collaborating remotely,4,Poor management
581,2,"My living situation (e.g. location, home size, who I live with)",4,Poor management
582,3,Difficulty collaborating remotely,4,Lack of motivation
583,2,My organisation's software and systems,3,I have tasks that can't be done remotely
584,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,I have tasks that can't be done remotely
585,3,"My living situation (e.g. location, home size, who I live with)",2,Lack of motivation
586,3,Management discourages remote working,4,Connectivity (internet connection)
587,4,Caring responsibilities,3,Cyber security
588,3,Lack of motivation,4,Lack of motivation
589,4,"My living situation (e.g. location, home size, who I live with)",3,Caring responsibilities
590,4,Feeling left out and/or isolated,4,I have tasks that can't be done remotely
591,3,Lack of motivation,3,Feeling left out and/or isolated
592,3,Feeling left out and/or isolated,3,Connectivity (internet connection)
593,4,Poor management,4,Feeling left out and/or isolated
594,3,Connectivity (internet connection),4,Caring responsibilities
595,3,I have tasks that can't be done remotely,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
596,4,Lack of motivation,4,Caring responsibilities
597,4,Connectivity (internet connection),4,Management discourages remote working
598,4,Feeling left out and/or isolated,3,My organisation's software and systems
599,4,Difficulty collaborating remotely,3,Feeling left out and/or isolated
600,4,Lack of motivation,3,Lack of motivation
601,4,Connectivity (internet connection),4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
602,4,Poor management,3,"IT equipment (computer, printer, etc.)"
603,4,Difficulty collaborating remotely,4,Connectivity (internet connection)
604,4,Difficulty collaborating remotely,3,Lack of remote working skills
605,4,Difficulty collaborating remotely,4,Caring responsibilities
606,4,Poor management,4,"My living situation (e.g. location, home size, who I live with)"
607,3,Feeling left out and/or isolated,3,"My living situation (e.g. location, home size, who I live with)"
608,4,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
609,2,My organisation's software and systems,4,Connectivity (internet connection)
610,3,Lack of motivation,3,Lack of motivation
611,2,Lack of motivation,3,My organisation's software and systems
612,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Connectivity (internet connection)
613,4,Connectivity (internet connection),4,Feeling left out and/or isolated
614,3,Cyber security,4,Lack of motivation
615,3,Poor management,4,Connectivity (internet connection)
616,3,Management discourages remote working,3,"IT equipment (computer, printer, etc.)"
617,4,Management discourages remote working,3,Feeling left out and/or isolated
618,3,Poor management,2,Lack of remote working skills
619,2,Management discourages remote working,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
620,5,Difficulty collaborating remotely,4,Caring responsibilities
621,2,Caring responsibilities,3,Lack of motivation
622,4,Lack of motivation,4,"My living situation (e.g. location, home size, who I live with)"
623,4,Lack of motivation,4,Lack of motivation
624,3,Lack of motivation,4,Lack of motivation
625,3,Management discourages remote working,2,"IT equipment (computer, printer, etc.)"
626,3,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
627,2,"My living situation (e.g. location, home size, who I live with)",4,Lack of motivation
628,3,Connectivity (internet connection),4,Lack of motivation
629,3,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
630,3,Management discourages remote working,4,Connectivity (internet connection)
631,2,"IT equipment (computer, printer, etc.)",3,Management discourages remote working
632,3,Lack of motivation,3,Difficulty collaborating remotely
633,4,Poor management,2,My organisation's software and systems
634,4,"IT equipment (computer, printer, etc.)",3,Lack of motivation
635,3,Lack of motivation,4,Lack of motivation
636,3,Lack of motivation,4,Feeling left out and/or isolated
637,3,I have tasks that can't be done remotely,4,"My living situation (e.g. location, home size, who I live with)"
638,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Lack of motivation
639,3,My organisation's software and systems,4,"My living situation (e.g. location, home size, who I live with)"
640,3,Difficulty collaborating remotely,4,Lack of motivation
641,4,Feeling left out and/or isolated,4,Poor management
642,4,Connectivity (internet connection),3,Feeling left out and/or isolated
643,3,Feeling left out and/or isolated,2,Lack of motivation
644,3,Lack of motivation,4,"My living situation (e.g. location, home size, who I live with)"
645,4,Connectivity (internet connection),4,"My living situation (e.g. location, home size, who I live with)"
646,2,My organisation's software and systems,4,Lack of motivation
647,4,Cyber security,3,Lack of motivation
648,3,Feeling left out and/or isolated,4,Lack of motivation
649,3,Lack of motivation,4,Lack of motivation
650,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Caring responsibilities
651,3,Lack of motivation,2,Lack of motivation
652,3,Lack of motivation,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
653,4,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
654,3,Lack of remote working skills,3,Difficulty collaborating remotely
655,4,Caring responsibilities,4,Management discourages remote working
656,4,Feeling left out and/or isolated,3,Lack of motivation
657,4,Feeling left out and/or isolated,3,"My living situation (e.g. location, home size, who I live with)"
658,4,Lack of motivation,4,Caring responsibilities
659,3,Difficulty collaborating remotely,3,Management discourages remote working
660,4,Connectivity (internet connection),4,Feeling left out and/or isolated
661,4,Feeling left out and/or isolated,4,Caring responsibilities
662,3,I have tasks that can't be done remotely,4,Lack of motivation
663,3,Difficulty collaborating remotely,4,Lack of motivation
664,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Lack of motivation
665,3,Lack of motivation,4,Lack of motivation
666,3,Lack of motivation,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
667,4,Poor management,3,Lack of motivation
668,3,Poor management,2,"IT equipment (computer, printer, etc.)"
669,5,Caring responsibilities,3,Management discourages remote working
670,3,Lack of motivation,3,My organisation's software and systems
671,3,Lack of motivation,3,Management discourages remote working
672,4,Feeling left out and/or isolated,4,Caring responsibilities
673,4,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
674,3,Lack of motivation,4,Caring responsibilities
675,4,Feeling left out and/or isolated,3,Caring responsibilities
676,3,"IT equipment (computer, printer, etc.)",4,Cyber security
677,4,Poor management,4,Caring responsibilities
678,3,Feeling left out and/or isolated,4,Connectivity (internet connection)
679,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Poor management
680,3,Lack of motivation,2,Management discourages remote working
681,4,Feeling left out and/or isolated,4,Caring responsibilities
682,3,Lack of motivation,1,Poor management
683,3,"IT equipment (computer, printer, etc.)",4,Poor management
684,4,Feeling left out and/or isolated,4,Management discourages remote working
685,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Lack of remote working skills
686,3,Feeling left out and/or isolated,2,Poor management
687,4,Poor management,4,Feeling left out and/or isolated
688,4,Difficulty collaborating remotely,3,Caring responsibilities
689,4,Feeling left out and/or isolated,3,Caring responsibilities
690,2,Poor management,2,Management discourages remote working
691,3,"My living situation (e.g. location, home size, who I live with)",2,Lack of motivation
692,4,Feeling left out and/or isolated,3,"IT equipment (computer, printer, etc.)"
693,4,Feeling left out and/or isolated,3,Connectivity (internet connection)
694,4,Lack of motivation,4,Connectivity (internet connection)
695,3,Poor management,4,"My living situation (e.g. location, home size, who I live with)"
696,3,Feeling left out and/or isolated,3,Lack of motivation
697,3,Feeling left out and/or isolated,4,Connectivity (internet connection)
698,3,Lack of motivation,2,My organisation's software and systems
699,4,Poor management,3,"IT equipment (computer, printer, etc.)"
700,4,"IT equipment (computer, printer, etc.)",4,"My living situation (e.g. location, home size, who I live with)"
701,3,Lack of motivation,2,My organisation's software and systems
702,4,Lack of motivation,4,Feeling left out and/or isolated
703,5,Difficulty collaborating remotely,3,Lack of motivation
704,4,Feeling left out and/or isolated,4,Lack of motivation
705,3,"IT equipment (computer, printer, etc.)",3,Lack of remote working skills
706,4,Poor management,4,Connectivity (internet connection)
707,4,Connectivity (internet connection),4,Feeling left out and/or isolated
708,3,Lack of motivation,3,Poor management
709,4,Feeling left out and/or isolated,3,Lack of motivation
710,4,"My living situation (e.g. location, home size, who I live with)",4,Lack of motivation
711,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Connectivity (internet connection)
712,3,Cyber security,4,Lack of motivation
713,3,Poor management,4,Lack of motivation
714,4,Feeling left out and/or isolated,4,Lack of motivation
715,3,"IT equipment (computer, printer, etc.)",3,Lack of remote working skills
716,3,"IT equipment (computer, printer, etc.)",4,Lack of motivation
717,4,Poor management,4,Connectivity (internet connection)
718,3,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
719,4,Feeling left out and/or isolated,4,Lack of motivation
720,4,Poor management,3,Connectivity (internet connection)
721,3,Lack of motivation,4,Connectivity (internet connection)
722,4,Management discourages remote working,4,Caring responsibilities
723,4,Feeling left out and/or isolated,3,Lack of motivation
724,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Difficulty collaborating remotely
725,4,Feeling left out and/or isolated,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
726,3,Cyber security,4,Feeling left out and/or isolated
727,3,Management discourages remote working,4,Connectivity (internet connection)
728,2,Management discourages remote working,2,"IT equipment (computer, printer, etc.)"
729,4,"IT equipment (computer, printer, etc.)",3,Feeling left out and/or isolated
730,4,Management discourages remote working,3,"My living situation (e.g. location, home size, who I live with)"
731,4,Poor management,4,Caring responsibilities
732,2,Lack of motivation,4,I have tasks that can't be done remotely
733,3,Connectivity (internet connection),4,Management discourages remote working
734,4,Management discourages remote working,4,"My living situation (e.g. location, home size, who I live with)"
735,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Difficulty collaborating remotely
736,3,Lack of motivation,4,Caring responsibilities
737,3,Feeling left out and/or isolated,3,Lack of motivation
738,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,"IT equipment (computer, printer, etc.)"
739,3,Management discourages remote working,3,"IT equipment (computer, printer, etc.)"
740,4,"My living situation (e.g. location, home size, who I live with)",3,Management discourages remote working
741,2,Lack of remote working skills,4,Caring responsibilities
742,4,Feeling left out and/or isolated,4,Poor management
743,3,Poor management,4,Lack of motivation
744,3,Poor management,4,"My living situation (e.g. location, home size, who I live with)"
745,4,Cyber security,4,Feeling left out and/or isolated
746,4,Feeling left out and/or isolated,3,Lack of motivation
747,4,Connectivity (internet connection),2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
748,3,Management discourages remote working,4,Lack of motivation
749,3,Management discourages remote working,3,"My living situation (e.g. location, home size, who I live with)"
750,3,Lack of motivation,3,Lack of motivation
751,4,Lack of motivation,4,Caring responsibilities
752,3,Management discourages remote working,3,Lack of motivation
753,4,Poor management,2,Management discourages remote working
754,3,Poor management,3,Caring responsibilities
755,3,Lack of motivation,3,"IT equipment (computer, printer, etc.)"
756,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,My organisation's software and systems
757,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Feeling left out and/or isolated
758,4,Connectivity (internet connection),3,Lack of motivation
759,2,Lack of motivation,3,Lack of motivation
760,3,Management discourages remote working,2,Lack of motivation
761,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,Lack of remote working skills
762,4,Difficulty collaborating remotely,3,Lack of motivation
763,3,Difficulty collaborating remotely,3,Lack of motivation
764,2,"IT equipment (computer, printer, etc.)",3,Lack of motivation
765,4,Management discourages remote working,3,Lack of motivation
766,3,Management discourages remote working,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
767,4,Feeling left out and/or isolated,4,My organisation's software and systems
768,3,Feeling left out and/or isolated,4,Lack of motivation
769,3,Management discourages remote working,4,"My living situation (e.g. location, home size, who I live with)"
770,4,Lack of motivation,3,Caring responsibilities
771,5,Difficulty collaborating remotely,3,Poor management
772,4,Difficulty collaborating remotely,3,Cyber security
773,4,Feeling left out and/or isolated,3,Management discourages remote working
774,2,"My living situation (e.g. location, home size, who I live with)",4,Lack of remote working skills
775,3,"IT equipment (computer, printer, etc.)",2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
776,2,Lack of motivation,2,Lack of motivation
777,5,"IT equipment (computer, printer, etc.)",4,Feeling left out and/or isolated
778,3,Difficulty collaborating remotely,3,Lack of remote working skills
779,4,Lack of remote working skills,4,Connectivity (internet connection)
780,3,Connectivity (internet connection),3,Lack of motivation
781,5,Difficulty collaborating remotely,3,Cyber security
782,4,Lack of motivation,3,Lack of remote working skills
783,3,I have tasks that can't be done remotely,4,Connectivity (internet connection)
784,4,Difficulty collaborating remotely,4,"IT equipment (computer, printer, etc.)"
785,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Lack of remote working skills
786,3,"My living situation (e.g. location, home size, who I live with)",3,Lack of remote working skills
787,4,"My living situation (e.g. location, home size, who I live with)",2,Poor management
788,4,Connectivity (internet connection),4,Feeling left out and/or isolated
789,4,Difficulty collaborating remotely,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
790,4,Connectivity (internet connection),3,Management discourages remote working
791,3,Management discourages remote working,3,Poor management
792,5,Difficulty collaborating remotely,3,"My living situation (e.g. location, home size, who I live with)"
793,3,Lack of motivation,4,Management discourages remote working
794,3,Poor management,4,Connectivity (internet connection)
795,4,"IT equipment (computer, printer, etc.)",3,Lack of motivation
796,5,Difficulty collaborating remotely,3,Connectivity (internet connection)
797,2,My organisation's software and systems,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
798,3,"IT equipment (computer, printer, etc.)",3,Caring responsibilities
799,2,"My living situation (e.g. location, home size, who I live with)",4,My organisation's software and systems
800,3,Caring responsibilities,2,Poor management
801,3,Lack of motivation,4,Caring responsibilities
802,3,"IT equipment (computer, printer, etc.)",3,"My living situation (e.g. location, home size, who I live with)"
803,4,Poor management,4,"My living situation (e.g. location, home size, who I live with)"
804,3,Lack of motivation,3,Cyber security
805,3,Difficulty collaborating remotely,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
806,3,Lack of motivation,3,Lack of motivation
807,4,Difficulty collaborating remotely,4,Caring responsibilities
808,3,Lack of motivation,3,"My living situation (e.g. location, home size, who I live with)"
809,4,"IT equipment (computer, printer, etc.)",4,Connectivity (internet connection)
810,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",3,Lack of motivation
811,3,Feeling left out and/or isolated,4,Caring responsibilities
812,3,Poor management,2,"My living situation (e.g. location, home size, who I live with)"
813,4,Feeling left out and/or isolated,4,Poor management
814,2,I have tasks that can't be done remotely,4,Connectivity (internet connection)
815,4,Connectivity (internet connection),3,"My living situation (e.g. location, home size, who I live with)"
816,3,"My living situation (e.g. location, home size, who I live with)",4,Feeling left out and/or isolated
817,3,Poor management,4,Lack of motivation
818,3,I have tasks that can't be done remotely,4,Feeling left out and/or isolated
819,3,Management discourages remote working,4,Feeling left out and/or isolated
820,3,Feeling left out and/or isolated,3,Lack of motivation
821,2,Lack of remote working skills,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
822,4,Feeling left out and/or isolated,4,Caring responsibilities
823,3,Poor management,4,Feeling left out and/or isolated
824,4,Feeling left out and/or isolated,4,"My living situation (e.g. location, home size, who I live with)"
825,3,Poor management,4,Connectivity (internet connection)
826,4,Connectivity (internet connection),3,Lack of motivation
827,2,"My living situation (e.g. location, home size, who I live with)",4,Connectivity (internet connection)
828,3,Lack of motivation,4,Poor management
829,2,Lack of motivation,3,Connectivity (internet connection)
830,3,"IT equipment (computer, printer, etc.)",2,My organisation's software and systems
831,3,"IT equipment (computer, printer, etc.)",4,Lack of motivation
832,3,Feeling left out and/or isolated,3,"My living situation (e.g. location, home size, who I live with)"
833,4,"IT equipment (computer, printer, etc.)",3,Caring responsibilities
834,3,Management discourages remote working,3,Caring responsibilities
835,3,"My living situation (e.g. location, home size, who I live with)",2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
836,4,Feeling left out and/or isolated,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
837,4,Poor management,3,Lack of motivation
838,4,"IT equipment (computer, printer, etc.)",4,Connectivity (internet connection)
839,3,Lack of motivation,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
840,4,"My living situation (e.g. location, home size, who I live with)",3,Caring responsibilities
841,3,"IT equipment (computer, printer, etc.)",3,Lack of remote working skills
842,4,Feeling left out and/or isolated,4,"IT equipment (computer, printer, etc.)"
843,2,My organisation's software and systems,3,"My living situation (e.g. location, home size, who I live with)"
844,3,Feeling left out and/or isolated,2,Poor management
845,3,Lack of motivation,2,Lack of remote working skills
846,4,Feeling left out and/or isolated,3,Lack of motivation
847,4,Lack of motivation,3,Management discourages remote working
848,4,Caring responsibilities,4,I have tasks that can't be done remotely
849,4,Caring responsibilities,3,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
850,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2,Poor management
851,4,Difficulty collaborating remotely,4,Connectivity (internet connection)
852,3,Poor management,4,Feeling left out and/or isolated
853,3,"IT equipment (computer, printer, etc.)",3,Difficulty collaborating remotely
854,2,I have tasks that can't be done remotely,4,Lack of motivation
855,3,Lack of motivation,4,Cyber security
856,3,Connectivity (internet connection),4,Feeling left out and/or isolated
857,4,Lack of motivation,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
858,4,Lack of motivation,3,Connectivity (internet connection)
859,4,Difficulty collaborating remotely,4,Caring responsibilities
860,4,Feeling left out and/or isolated,3,Lack of remote working skills
861,4,Difficulty collaborating remotely,4,"IT equipment (computer, printer, etc.)"
862,4,Lack of motivation,3,Lack of motivation
863,4,Feeling left out and/or isolated,4,Connectivity (internet connection)
864,4,"My living situation (e.g. location, home size, who I live with)",4,Lack of motivation
865,2,My organisation's software and systems,3,Lack of remote working skills
866,4,Caring responsibilities,3,"My living situation (e.g. location, home size, who I live with)"
867,4,Lack of motivation,3,Management discourages remote working
868,3,"My living situation (e.g. location, home size, who I live with)",4,Management discourages remote working
869,3,Lack of motivation,4,Cyber security
870,3,Management discourages remote working,3,Lack of motivation
871,4,Feeling left out and/or isolated,3,I have tasks that can't be done remotely
872,3,"My living situation (e.g. location, home size, who I live with)",4,Caring responsibilities
873,3,Poor management,4,I have tasks that can't be done remotely
874,4,Feeling left out and/or isolated,3,Connectivity (internet connection)
875,4,Poor management,3,"My living situation (e.g. location, home size, who I live with)"
876,3,"IT equipment (computer, printer, etc.)",3,Cyber security
877,2,"My living situation (e.g. location, home size, who I live with)",3,Connectivity (internet connection)
878,2,Poor management,2,Lack of motivation
879,5,Difficulty collaborating remotely,4,Caring responsibilities
880,4,Feeling left out and/or isolated,3,Poor management
881,3,Difficulty collaborating remotely,4,Feeling left out and/or isolated
882,4,Feeling left out and/or isolated,3,Management discourages remote working
883,4,Lack of motivation,3,Management discourages remote working
884,3,Management discourages remote working,4,Lack of motivation
885,3,"IT equipment (computer, printer, etc.)",4,Caring responsibilities
886,4,Feeling left out and/or isolated,4,Lack of motivation
887,3,Difficulty collaborating remotely,4,Connectivity (internet connection)
888,3,Connectivity (internet connection),4,Lack of remote working skills
889,5,Difficulty collaborating remotely,4,"IT equipment (computer, printer, etc.)"
890,4,Feeling left out and/or isolated,3,Caring responsibilities
891,4,Lack of motivation,4,Feeling left out and/or isolated
892,2,"My living situation (e.g. location, home size, who I live with)",2,Cyber security
893,4,Feeling left out and/or isolated,3,Poor management
894,4,Connectivity (internet connection),4,Poor management
895,4,"IT equipment (computer, printer, etc.)",4,"My living situation (e.g. location, home size, who I live with)"
896,4,Connectivity (internet connection),4,Caring responsibilities
897,2,Poor management,4,Management discourages remote working
898,3,Difficulty collaborating remotely,3,Poor management
899,3,Connectivity (internet connection),4,Management discourages remote working
900,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",4,I have tasks that can't be done remotely
901,3,Management discourages remote working,2,My organisation's software and systems
