Response_ID,DOB,Gender,Industry,Occupation,Employees_No,Employees_No_Order,Are_You_Manager,Household,Household_Order,Experience,Experience_Order,Area,Last_Year_Actual_Work_Time_Remotely,Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_Year_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work,Last_Year_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_Year_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_Year_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_Year_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work,Last_Year_Has_AgreedTo_Would_Recommend_Remote_Work_Order,Last_Year_Preferred_Work_Time_Remotely,Last_3Months_Actual_Work_Time_Remotely,Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work,Last_3Months_Has_AgreedTo_Org_Encouraged_Remote_Work_Order,Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work,Last_3Months_Has_AgreedTo_Org_Prepared_Remote_Work_Order,Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work,Last_3Months_Has_AgreedTo_Employees_UsedTo_Remote_Work_Order,Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Last_3Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work_Order,Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Last_3Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work_Order,Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work,Last_3Months_Has_AgreedTo_Would_Recommend_Remote_Work_Order,Last_3Months_Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,Your_Productivity_Comparison,PrepareForWorkAndCommuting_At_Workplace_Hours,Work_At_Workplace_Hours,PersonalAndFamilyTime_At_Workplace_Hours,CaringAndResponsibilities_At_Workplace_Hours,PrepareForWorkAndCommuting_At_Remote_Work_Hours,Work_At_Remote_Work_Hours,PersonalAndFamilyTime_At_Remote_Work_Hours,CaringAndResponsibilities_At_Remote_Work_Hours,Biggest_Barriers,Smallest_Barriers,Best_Aspects,Worst_Aspects
349,1965,Male,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 20%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat disagree,2,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4," 60%"," 60%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 80%"," 70%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,2,8,4,2,0,9,4,3,Management discourages remote working,Caring responsibilities,Preparing for work and commuting,My working relationships
350,1967,Male,Health Care and Social Assistance,Managers - Specialist Managers,More than 200,5,No,Single person,1,More than 5 years,3,Metro," 40%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3," 40%"," 40%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 40%"," 40%",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 40 %,2,8,1,1,0.25,8,2,2,Management discourages remote working,Caring responsibilities,Preparing for work and commuting,My opportunities to socialise
351,1997,Female,Health Care and Social Assistance,Sales  - Sales Assistants and Salespersons,More than 200,5,No,One  parent family with dependent children,3,Between 1 and 5 years,2,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 10%",100% - I spent all of my time remote working,Neither agree nor disagree,3,Somewhat disagree,2,Neither agree nor disagree,3,Strongly agree,5,Neither agree nor disagree,3,Somewhat disagree,2," 10%"," 10%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1.5,7.5,0,0,0.5,7.5,0,0,Lack of motivation,I have tasks that can't be done remotely,My on-the-job learning opportunities,My job satisfaction
352,1990,Male,Manufacturing,Machinery operators and drivers - Road and Rail Drivers,I am the only employee,1,Yes,One  parent family with dependent children,3,Between 6 and 12 months,1,Regional," 80%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 60%"," 70%",Strongly agree,5,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3," 10%"," 70%",Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 50 %,1,2,20,1,1,13,5,5,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",My working relationships,The number of hours  I work
353,1962,Male,Arts and Recreation Services,"Technicians and trades  - Electrotechnology and Telecommunications Trades ",Between 5 and 19,3,Yes,Single person,1,More than 5 years,3,Regional," 10%",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3," 50% - About half of my time"," 50% - I spent about half of my time remote working",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3," 20%"," 10%",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 30 %,1,3,13,7,1,5,15,3,My organisation's software and systems,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Managing my family responsibilities,The number of hours  I work
354,1978,Female,Accommodation and Food Services,"Managers - Hospitality, Retail and Service Managers",Between 5 and 19,3,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 20%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 20%"," 10%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 10%"," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 30 %,1,9,2,3,0.2,8,3,3,"IT equipment (computer, printer, etc.)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My work-life balance,My working relationships
355,1984,Female,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Somewhat agree,4,Strongly disagree,1,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 20%"," 30%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3," 40%"," 0% - I would prefer not to work remotely",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Less Productive By 20 %,1,7,0,0,0,6,1,1,Management discourages remote working,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,The number of hours  I work
356,1961,Male,"Professional, Scientific and Technical Services","Professionals - Design, Engineering, Science and Transport Professionals",Between 1 and 4,2,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 70%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 70%",100% - I spent all of my time remote working,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 70%"," 70%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 20 %,2,9,2,2,0,9,4,2,I have tasks that can't be done remotely,Lack of motivation,My work-life balance,My opportunities to socialise
357,1958,Male,"Professional, Scientific and Technical Services","Managers - Chief Executives, General Managers and Legislators",Between 1 and 4,2,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 40%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3," 70%"," 20%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3," 70%"," 70%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 10 %,0.5,8,4,1,2,6,1,0,Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",My working relationships,Managing my family responsibilities
358,1969,Male,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 20%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 30%",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 80%"," 50% - About half of my time",Strongly agree,5,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,1,9,7,0.5,0.5,9,7,1,Feeling left out and/or isolated,Lack of motivation,Managing my personal commitments,My opportunities to socialise
359,1971,Male,"Professional, Scientific and Technical Services","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3," 20%"," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3," 20%"," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 50 %,1,10,10,2,0,12,10,2,I have tasks that can't be done remotely,Lack of motivation,Preparing for work and commuting,My working relationships
360,1972,Female,Information Media and Telecommunications,Sales  - Sales Representatives and Agents,Between 20 and 199,4,No,Single person,1,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Neither agree nor disagree,3,Strongly disagree,1,Neither agree nor disagree,3,Strongly disagree,1,Neither agree nor disagree,3,Somewhat agree,4," 20%"," 80%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 50% - About half of my time",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,More Productive By 30 %,2,8,5,4,0,8,4,6,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,Preparing for work and commuting,My opportunities to socialise
361,1979,Female,"Professional, Scientific and Technical Services","Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Regional," 50% - I spent about half of my time remote working",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat disagree,2,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 30 %,4,8,3,1,0.5,8,4.5,3,Connectivity (internet connection),Lack of remote working skills,My work-life balance,The number of hours  I work
362,1966,Female,Information Media and Telecommunications,Clerical and administrative  - Office Managers and Program Administrators,More than 200,5,No,Single person,1,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3," 10%",100% - I spent all of my time remote working,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3," 20%"," 10%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Level Of The Productivity Is The Same,2,10,8,4,0.5,10,9.5,4,Poor management,Caring responsibilities,My work-life balance,My opportunities to socialise
363,1959,Female,Arts and Recreation Services,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Single person,1,More than 5 years,3,Regional," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 20%",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time," 60%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 30 %,3,10,2,1,0.5,10,6,2,Feeling left out and/or isolated,Lack of motivation,My work-life balance,My mental wellbeing
364,1995,Male,Education and Training,Professionals - Education Professionals,More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro,100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,1,1,1,4,4,6,5,7,Lack of remote working skills,My organisation's software and systems,My opportunities to socialise,My daily expenses
365,1983,Female,Information Media and Telecommunications,Professionals - Arts and Media Professionals,Between 1 and 4,2,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Neither agree nor disagree,3," 20%"," 50% - I spent about half of my time remote working",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 50% - About half of my time"," 20%",Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Less Productive By 30 %,1.5,7,3,1,0,4,4,4,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,The number of hours  I work,My personal relationships
366,1968,Male,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 40%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3," 90%"," 50% - I spent about half of my time remote working",Somewhat agree,4,Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Somewhat disagree,2,Neither agree nor disagree,3," 20%"," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Less Productive By 20 %,2,8,3,2,0,10,2,2,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My work-life balance,My mental wellbeing
367,1966,Male,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4," 40%"," 50% - I spent about half of my time remote working",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 50% - About half of my time"," 40%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Level Of The Productivity Is The Same,1.5,9,3,2.5,0,8,4,2,Cyber security,Lack of motivation,Preparing for work and commuting,My opportunities to socialise
368,1969,Male,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,Between 5 and 19,3,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 50% - I spent about half of my time remote working",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 50% - About half of my time"," 80%",Strongly agree,5,Strongly agree,5,Somewhat agree,4,Strongly agree,5,Neither agree nor disagree,3,Somewhat agree,4," 50% - About half of my time"," 50% - About half of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Less Productive By 20 %,1.5,9,10,3.5,0,10,5,3,Difficulty collaborating remotely,Caring responsibilities,My working relationships,My work-life balance
369,1966,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Neither agree nor disagree,3," 50% - About half of my time"," 50% - I spent about half of my time remote working",Strongly agree,5,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Somewhat agree,4," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,2,11,8,3,0,14,5,5,Lack of motivation,Connectivity (internet connection),My work-life balance,The number of hours  I work
370,1964,Female,Arts and Recreation Services,Professionals - Arts and Media Professionals,I am the only employee,1,No,Multiple family household,6,More than 5 years,3,Regional," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4," 20%"," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4," 20%"," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Level Of The Productivity Is The Same,2,4,2,3,0,4,3,3,Connectivity (internet connection),Feeling left out and/or isolated,Preparing for work and commuting,My opportunities to socialise
371,1969,Male,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro," 60%",Neither agree nor disagree,3,Strongly agree,5,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 60%",100% - I spent all of my time remote working,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Somewhat agree,4," 60%"," 60%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,3.5,8.5,3,1,0.5,9.5,4,2,Feeling left out and/or isolated,Caring responsibilities,My work-life balance,My opportunities to socialise
372,1981,Male,Other Services,Sales  - Sales Representatives and Agents,I am the only employee,1,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro,100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4,100% - All of my time,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,1,8,2,2,1,8,2,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,My working relationships,Preparing for work and commuting
373,1970,Female,Administrative and Support Services,Clerical and administrative  - Personal Assistants and Secretaries,More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 20%",100% - I spent all of my time remote working,Strongly agree,5,Somewhat disagree,2,Strongly disagree,1,Strongly agree,5,Strongly agree,5,Somewhat agree,4,100% - All of my time," 50% - About half of my time",Strongly disagree,1,Somewhat disagree,2,Somewhat disagree,2,More Productive By 40 %,3,7,4,0,0,8,8,0,Management discourages remote working,My organisation's software and systems,Preparing for work and commuting,The number of hours  I work
374,1970,Male,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 50% - About half of my time"," 50% - I spent about half of my time remote working",Strongly disagree,1,Somewhat agree,4,Somewhat agree,4,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4," 50% - About half of my time"," 50% - About half of my time",Strongly disagree,1,Somewhat disagree,2,Somewhat disagree,2,More Productive By 20 %,2,7,14,1,0,8,15,1,"My living situation (e.g. location, home size, who I live with)",Lack of remote working skills,My work-life balance,The number of hours  I work
375,1957,Male,Health Care and Social Assistance,"Clerical and administrative  - Other Clerical and Administrative ",More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Regional," 0% - Rarely or never",NA,6,NA,6,NA,6,NA,6,NA,6,NA,6," 50% - About half of my time",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3," 70%"," 70%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Less Productive By 50 %,1.5,8,6,2,0,8,6,2,Lack of remote working skills,Management discourages remote working,My daily expenses,My job satisfaction
376,1966,Male,"Professional, Scientific and Technical Services","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with no dependent children,2,More than 5 years,3,Regional," 50% - I spent about half of my time remote working",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Somewhat disagree,2," 20%"," 80%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Somewhat agree,4,Neither agree nor disagree,3," 20%"," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Less Productive By 30 %,0.5,6,1,0,0.5,5,1,1,Difficulty collaborating remotely,My organisation's software and systems,My work-life balance,My working relationships
377,1969,Male,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 40%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Strongly agree,5,Strongly agree,5,Somewhat agree,4," 40%",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 80%"," 60%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 20 %,2,8,2,1,0,8.5,2,1,Lack of motivation,My organisation's software and systems,My daily expenses,My opportunities to socialise
378,1989,Female,Arts and Recreation Services,Managers - Specialist Managers,Between 20 and 199,4,No,Group household,7,More than 5 years,3,Metro," 50% - I spent about half of my time remote working",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 40%",100% - I spent all of my time remote working,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 80%"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 50 %,1,7,2,0,0.25,8,3,0,Connectivity (internet connection),Caring responsibilities,My work-life balance,The number of hours  I work
379,1966,Female,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 20%",Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat disagree,2,Somewhat disagree,2,Somewhat agree,4," 20%",100% - I spent all of my time remote working,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,100% - All of my time," 20%",Somewhat disagree,2,Strongly agree,5,Somewhat disagree,2,Level Of The Productivity Is The Same,2,8,10,4,0,8,10,6,Management discourages remote working,Cyber security,My daily expenses,My opportunities to socialise
380,1985,Male,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 30%",Somewhat agree,4,Somewhat disagree,2,Somewhat disagree,2,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4," 40%"," 80%",Somewhat agree,4,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 80%"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 50 %,2,10,1,1,0,10,4,2,"My living situation (e.g. location, home size, who I live with)","IT equipment (computer, printer, etc.)",Preparing for work and commuting,My job satisfaction
381,1988,Male,Arts and Recreation Services,Professionals - Arts and Media Professionals,I am the only employee,1,No,Group household,7,More than 5 years,3,Metro," 20%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 40%"," 80%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Strongly agree,5," 70%"," 30%",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 20 %,1.5,9,3,1,0.5,7,4,2,"My living situation (e.g. location, home size, who I live with)",Cyber security,Preparing for work and commuting,My mental wellbeing
382,1974,Female,Arts and Recreation Services,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,4,No,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Somewhat agree,4,Strongly agree,5," 70%"," 90%",Strongly agree,5,Somewhat disagree,2,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,100% - All of my time," 70%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 40 %,4.5,7.5,2,0.5,0,7.5,4,2,I have tasks that can't be done remotely,Lack of motivation,My daily expenses,My on-the-job learning opportunities
383,1972,Male,"Professional, Scientific and Technical Services","Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,Yes,One  parent family with dependent children,3,More than 5 years,3,Metro," 80%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4," 80%",100% - I spent all of my time remote working,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 90%"," 80%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 30 %,2,7,2,1,0,7,2,1,Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My work-life balance,My working relationships
384,1957,Male,Financial and Insurance Services,Managers - Specialist Managers,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 10%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3," 1% - 9% - Less than 10% of my time"," 90%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5,Strongly agree,5," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1.5,9,10,3.5,0,10,10,4,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My work-life balance,My working relationships
385,1966,Male,Health Care and Social Assistance,Managers - Specialist Managers,More than 200,5,Yes,Single person,1,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time",Somewhat disagree,2,Somewhat agree,4,Strongly disagree,1,Strongly disagree,1,Somewhat agree,4,Strongly agree,5," 40%"," 1% - 9% - Less than 10% of my time",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Strongly agree,5," 40%"," 40%",Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Less Productive By 20 %,0,8.5,6,1,0,8.5,6,1,Management discourages remote working,Lack of motivation,My work-life balance,My on-the-job learning opportunities
