ID,Response_ID,DOB,Gender,Industry,Occupation,Employees_No,Employees_No_Order,Are_You_Manager,Household,Household_Order,Experience,Experience_Order,Area,Actual_Work_Time_Remotely,Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,Your_Productivity_Comparison,PrepareForWorkAndCommuting_At_Workplace_Hours,Work_At_Workplace_Hours,PersonalAndFamilyTime_At_Workplace_Hours,CaringAndResponsibilities_At_Workplace_Hours,PrepareForWorkAndCommuting_At_Remote_Work_Hours,Work_At_Remote_Work_Hours,PersonalAndFamilyTime_At_Remote_Work_Hours,CaringAndResponsibilities_At_Remote_Work_Hours,Biggest_Barriers,Smallest_Barriers,Year
411,411,1956,Male,Wholesale Trade,"Managers - Hospitality, Retail and Service Managers",Between 5 and 19,3,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 20%"," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Level Of The Productivity Is The Same,1,9,12,2,0,8,10,2,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",2020
412,412,1969,Male,Manufacturing,Professionals - ICT Professionals,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 10%"," 60%",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Level Of The Productivity Is The Same,1.2,9,5,1,0.2,9.5,5.5,1.2,Lack of motivation,My organisation's software and systems,2020
413,413,1981,Female,Other Services,"Clerical and administrative  - Other Clerical and Administrative ",Between 20 and 199,4,Yes,Single person,1,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 40%",Neither agree nor disagree,3,Strongly agree,5,Strongly agree,5,More Productive By 30 %,2.5,7.5,4.5,0.5,0.5,7.5,6,0.5,Connectivity (internet connection),Lack of motivation,2020
414,414,1957,Female,Administrative and Support Services,"Managers - Hospitality, Retail and Service Managers",More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 20%"," 70%"," 90%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,More Productive By 40 %,1,8,5,4,0,9,5,5,Difficulty collaborating remotely,Lack of motivation,2020
415,415,1971,Male,Education and Training,Professionals - Education Professionals,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 30%"," 30%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,Less Productive By 50 %,3,5,8,8,2,6,8,8,Lack of remote working skills,Caring responsibilities,2020
416,416,1967,Male,"Professional, Scientific and Technical Services","Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,4,No,Other one family household,5,Between 1 and 5 years,2,Metro," 20%"," 80%"," 80%",Neither agree nor disagree,3,Somewhat disagree,2,Somewhat disagree,2,Level Of The Productivity Is The Same,1.5,5,7,2,0,7,5,2,Management discourages remote working,Feeling left out and/or isolated,2020
417,417,1984,Male,"Professional, Scientific and Technical Services","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 80%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 30 %,2,8,3,2,0,9,4,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of remote working skills,2020
418,418,2000,Female,Education and Training,Professionals - Education Professionals,I am the only employee,1,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Strongly disagree,1,Somewhat disagree,2,Somewhat disagree,2,Less Productive By 20 %,2,3,8,1,0.5,3,10,1,Difficulty collaborating remotely,Management discourages remote working,2020
419,419,1972,Female,Administrative and Support Services,"Managers - Hospitality, Retail and Service Managers",Between 1 and 4,2,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Level Of The Productivity Is The Same,2,4,4,4,0,4,4,4,Cyber security,Lack of motivation,2020
420,420,1994,Male,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 20%"," 50% - About half of my time"," 50% - About half of my time",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 50 %,1,9,0,0,0.25,12,0,0,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),2020
421,421,1972,Female,Education and Training,Managers - Specialist Managers,More than 200,5,Yes,One  parent family with dependent children,3,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 0% - I would not have preferred to work remotely"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Less Productive By 10 %,1,8,3,3,0.5,8,3,3,Feeling left out and/or isolated,Connectivity (internet connection),2020
422,422,1959,Female,Administrative and Support Services,"Clerical and administrative  - General Clerical ",More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 30%"," 40%"," 50% - About half of my time",Neither agree nor disagree,3,Somewhat disagree,2,Neither agree nor disagree,3,More Productive By 50 %,2.5,8,2,4,0.25,8,2,4,Management discourages remote working,Lack of motivation,2020
423,423,1965,Male,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 30%"," 30%"," 80%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 10 %,1.5,8,14,0.5,0,8,15.5,0.5,Feeling left out and/or isolated,Management discourages remote working,2020
424,424,1978,Female,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",I am the only employee,1,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time"," 40%"," 40%",Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,3,7.5,3,1,1,7,5,1,"My living situation (e.g. location, home size, who I live with)",My organisation's software and systems,2020
425,425,1979,Male,Financial and Insurance Services,Managers - Specialist Managers,More than 200,5,Yes,Single person,1,More than 5 years,3,Metro,100% - I spent all of my time remote working," 20%"," 50% - About half of my time",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Level Of The Productivity Is The Same,1,7,1,1,0,7,3,1,Lack of remote working skills,Feeling left out and/or isolated,2020
426,426,1974,Male,Retail Trade,Professionals - ICT Professionals,More than 200,5,No,Group household,7,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time"," 50% - About half of my time"," 40%",Somewhat disagree,2,Somewhat disagree,2,Somewhat agree,4,Level Of The Productivity Is The Same,3,8,5,1,1,8,6,1,Poor management,I have tasks that can't be done remotely,2020
427,427,1966,Female,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,5,No,Single person,1,Between 6 and 12 months,1,Metro," 1% - 9% - Less than 10% of my time"," 10%"," 70%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 30 %,2.5,8,8,5.5,0.5,9,7.5,7,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Poor management,2020
428,428,1980,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 40%"," 40%",100% - All of my time,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,Less Productive By 20 %,1,8,3,1,0,6,5,1,Difficulty collaborating remotely,Connectivity (internet connection),2020
429,429,1958,Female,Financial and Insurance Services,Professionals - Health Professionals,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 10%"," 10%"," 50% - About half of my time",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,2,7,4,4,1,8,4,4,Connectivity (internet connection),Management discourages remote working,2020
430,430,1969,Male,Financial and Insurance Services,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 10%"," 30%"," 20%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 20 %,1.5,10,4.5,0,0.5,11,3.5,1,Difficulty collaborating remotely,Poor management,2020
431,431,1991,Female,Retail Trade,"Sales  - Sales Support ",More than 200,5,No,Couple with no dependent children,2,Between 6 and 12 months,1,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Level Of The Productivity Is The Same,1,8,5,2,0,8,6,2,Caring responsibilities,Poor management,2020
432,432,1987,Male,"Professional, Scientific and Technical Services","Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 20%"," 10%"," 20%",Somewhat agree,4,Neither agree nor disagree,3,Neither agree nor disagree,3,Less Productive By 20 %,0.5,8,4,2,0.1,8,6,2,Poor management,"My living situation (e.g. location, home size, who I live with)",2020
433,433,1985,Male,"Agriculture, Forestry and Fishing",Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Regional," 20%"," 40%"," 50% - About half of my time",Somewhat disagree,2,Somewhat agree,4,Neither agree nor disagree,3,Level Of The Productivity Is The Same,0.25,9.5,4,2,0,9,5,2,Caring responsibilities,Lack of motivation,2020
434,434,1961,Female,Administrative and Support Services,Clerical and administrative  - Personal Assistants and Secretaries,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Regional," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Level Of The Productivity Is The Same,1,8,4,2,0.5,8,4,2,Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",2020
435,435,1968,Male,Public Administration and Safety,Machinery operators and drivers - Machine and Stationary Plant Operators,More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 20%"," 20%"," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Somewhat disagree,2,Strongly disagree,1,Less Productive By 50 %,0,10,14,0,0,3,17,4,Poor management,Lack of motivation,2020
436,436,1986,Female,Financial and Insurance Services,"Clerical and administrative  - Other Clerical and Administrative ",Between 20 and 199,4,Yes,Group household,7,More than 5 years,3,Regional," 0% - Rarely or never"," 0% - I would not have preferred to work remotely",100% - All of my time,Somewhat disagree,2,Somewhat agree,4,Somewhat agree,4,More Productive By 50 %,1,8,3,3,0.5,10,2,3,Feeling left out and/or isolated,Connectivity (internet connection),2020
437,437,1956,Male,Financial and Insurance Services,Sales  - Sales Representatives and Agents,Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never"," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Less Productive By 50 %,1,7,3,1,0,8,3,1,"My living situation (e.g. location, home size, who I live with)",Feeling left out and/or isolated,2020
438,438,1968,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 90%",100% - All of my time,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,1,7,4,0,0,8,7,0,Lack of remote working skills,Poor management,2020
439,439,1973,Female,Administrative and Support Services,Clerical and administrative  - Personal Assistants and Secretaries,More than 200,5,Yes,Single person,1,Between 6 and 12 months,1,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,Level Of The Productivity Is The Same,1.5,9,5,7,2,10,4,5,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",2020
440,440,1984,Female,"Professional, Scientific and Technical Services",Professionals - Education Professionals,More than 200,5,No,Single person,1,Between 1 and 5 years,2,Metro," 20%"," 50% - About half of my time"," 50% - About half of my time",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Less Productive By 20 %,2.5,7,3,1,0.5,7,3,1,Lack of motivation,Lack of motivation,2020
441,441,1967,Male,Public Administration and Safety,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,Yes,Single person,1,Between 6 and 12 months,1,Metro," 80%"," 70%"," 50% - About half of my time",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Level Of The Productivity Is The Same,1,9,4,0,0,9,5,0,Difficulty collaborating remotely,Connectivity (internet connection),2020
442,442,1964,Male,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time"," 50% - About half of my time"," 40%",Strongly disagree,1,Somewhat disagree,2,Strongly disagree,1,Level Of The Productivity Is The Same,2,8,2,1,0.5,9,3,2,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",2020
443,443,1963,Female,Other Services,Sales  - Sales Representatives and Agents,Between 20 and 199,4,No,Couple with no dependent children,2,More than 5 years,3,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 20 %,4,7,0.5,0,0,8,0.5,0.5,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,2020
444,444,1961,Male,Financial and Insurance Services,Managers - Specialist Managers,Between 20 and 199,4,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 10%"," 20%"," 80%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 10 %,3.5,8,3,1.5,0.5,9,5,1.5,My organisation's software and systems,Lack of motivation,2020
445,445,1971,Female,Public Administration and Safety,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Single person,1,More than 5 years,3,Regional," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Less Productive By 10 %,0.5,10,4,1,0,7,5,2,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",2020
446,446,1994,Male,"Professional, Scientific and Technical Services",Professionals - Health Professionals,Between 20 and 199,4,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Regional," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Level Of The Productivity Is The Same,2,8,2,2,0,8,2,2,"IT equipment (computer, printer, etc.)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
447,447,1978,Male,Wholesale Trade,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,4,Yes,Single person,1,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 1% - 9% - Less than 10% of my time"," 70%",Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 20 %,2,9,3.5,2,0.5,9,4.5,2.5,Poor management,Lack of motivation,2020
448,448,1966,Female,Manufacturing,Managers - Specialist Managers,Between 20 and 199,4,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 20%"," 20%"," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 10 %,2,8,3,1,0.45,9,3,1,Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
449,449,1965,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 0% - Rarely or never"," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 50 %,1,9,2,2,2,12,5,5,Connectivity (internet connection),Lack of remote working skills,2020
450,450,1965,Male,"Electricity, Gas, Water and Waste Services",Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working"," 80%"," 80%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,2,6,4,6,1,8,2,4,"IT equipment (computer, printer, etc.)",Management discourages remote working,2020
451,451,1960,Female,Health Care and Social Assistance,Professionals - ICT Professionals,More than 200,5,No,Couple with no dependent children,2,More than 5 years,3,Metro," 10%"," 30%"," 80%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,More Productive By 50 %,1,7,4,2,0,8,4,2,Connectivity (internet connection),Lack of motivation,2020
452,452,1988,Male,Retail Trade,Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 20%"," 40%"," 30%",Strongly disagree,1,Neither agree nor disagree,3,Somewhat agree,4,Level Of The Productivity Is The Same,1.5,10,4,1,0.5,10,5,2,Management discourages remote working,Connectivity (internet connection),2020
453,453,1958,Female,"Agriculture, Forestry and Fishing",Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,2,9,2,2,0.5,10,2,2,Lack of motivation,Lack of motivation,2020
454,454,1959,Female,Financial and Insurance Services,"Clerical and administrative  - Clerical and Office Support ",Between 5 and 19,3,No,Single person,1,Between 6 and 12 months,1,Regional," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 40%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1,7,2,1.5,0.5,7,2,2,Feeling left out and/or isolated,Connectivity (internet connection),2020
455,455,1959,Male,"Electricity, Gas, Water and Waste Services",Sales  - Sales Assistants and Salespersons,More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 40%"," 60%"," 60%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 20 %,2,9,2,1,0.5,9,3.5,1,Management discourages remote working,Feeling left out and/or isolated,2020
456,456,1963,Female,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,No,One  parent family with dependent children,3,Between 6 and 12 months,1,Metro," 40%"," 20%"," 80%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,More Productive By 40 %,0.2,7,2,3,1,8,5,1,Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",2020
457,457,1996,Female,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 0% - I would prefer not to work remotely",Somewhat disagree,2,Strongly disagree,1,Strongly agree,5,Level Of The Productivity Is The Same,0.5,14,4,2,0.5,14,4,2,Connectivity (internet connection),Poor management,2020
458,458,1984,Male,Information Media and Telecommunications,Professionals - Arts and Media Professionals,Between 5 and 19,3,Yes,Couple with no dependent children,2,Between 6 and 12 months,1,Metro," 0% - Rarely or never"," 30%"," 30%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,2,8,3,2,0,9,4,3,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,2020
459,459,1959,Male,"Professional, Scientific and Technical Services",Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 20%"," 40%"," 80%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,More Productive By 50 %,3,9,4,1,0,10,6,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Poor management,2020
460,460,1961,Male,Other Services,Clerical and administrative  - Office Managers and Program Administrators,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Regional," 50% - I spent about half of my time remote working"," 50% - About half of my time"," 50% - About half of my time",Somewhat disagree,2,Somewhat disagree,2,Neither agree nor disagree,3,More Productive By 10 %,4,7.5,4,2,0.5,8,6,3,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",2020
461,461,1980,Male,Administrative and Support Services,"Clerical and administrative  - Other Clerical and Administrative ",More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 0% - Rarely or never",100% - All of my time," 90%",Somewhat disagree,2,Strongly disagree,1,Somewhat disagree,2,More Productive By 30 %,2,8,3,1,0.5,8,4,1,Management discourages remote working,Lack of motivation,2020
462,462,1972,Female,Health Care and Social Assistance,Community and personal service  - Carers and Aides,I am the only employee,1,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 20%"," 50% - About half of my time"," 50% - About half of my time",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Less Productive By 10 %,1,8,2,5,0,7,4,7,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,2020
463,463,1965,Male,Financial and Insurance Services,Sales  - Sales Representatives and Agents,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 40%"," 20%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1,8,3,2,1,9,2,2,Connectivity (internet connection),Caring responsibilities,2020
464,464,1970,Male,Education and Training,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Less Productive By 10 %,0.5,9,2,5,0,10,1,1,Caring responsibilities,Poor management,2020
465,465,1988,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",I am the only employee,1,No,Group household,7,More than 5 years,3,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Strongly agree,5,Strongly agree,5,Strongly agree,5,Level Of The Productivity Is The Same,0,6,2,1,0,6,2,1,Feeling left out and/or isolated,Poor management,2020
466,466,1980,Female,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 20%"," 20%"," 40%",Strongly agree,5,Somewhat agree,4,Strongly agree,5,More Productive By 30 %,1,8.5,5,1,0,10,5,1,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
467,467,1963,Male,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 10%"," 80%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 30 %,1.5,7.5,4,4,0.5,8,8,4,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,2020
468,468,1961,Male,"Electricity, Gas, Water and Waste Services",Managers - Specialist Managers,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 20%"," 20%",Somewhat agree,4,Somewhat agree,4,Strongly agree,5,More Productive By 30 %,1.5,9,0.5,4,0.5,11,1,4,Management discourages remote working,"IT equipment (computer, printer, etc.)",2020
469,469,1980,Male,Retail Trade,Professionals - ICT Professionals,More than 200,5,Yes,Single person,1,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 50% - About half of my time",100% - All of my time,Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Level Of The Productivity Is The Same,0.5,9,13.5,1,0,9,14,1,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",2020
470,470,1973,Male,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 50% - I spent about half of my time remote working"," 10%"," 40%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Less Productive By 10 %,1.5,8,3,1,0.5,8,4,1,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),2020
471,471,2000,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 0% - Rarely or never"," 40%"," 0% - I would prefer not to work remotely",Somewhat agree,4,Strongly agree,5,Strongly agree,5,More Productive By 10 %,2,8,4,10,0.1,7.9,10,6,Poor management,Feeling left out and/or isolated,2020
472,472,1985,Male,Financial and Insurance Services,"Sales  - Sales Support ",Between 20 and 199,4,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro,100% - I spent all of my time remote working," 60%"," 40%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat disagree,2,Less Productive By 10 %,1,1,2,8,1,6,2,7,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",2020
473,473,1956,Female,"Professional, Scientific and Technical Services","Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 30%"," 30%"," 60%",Strongly agree,5,Neither agree nor disagree,3,Strongly agree,5,More Productive By 10 %,1,11,3,1,0,11,3.5,1,Feeling left out and/or isolated,Management discourages remote working,2020
474,474,1961,Female,Health Care and Social Assistance,Professionals - Health Professionals,I am the only employee,1,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 20%"," 30%"," 30%",Somewhat disagree,2,Neither agree nor disagree,3,Neither agree nor disagree,3,More Productive By 20 %,3,9,2,2,4,8,2,2,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,2020
475,475,1990,Female,Education and Training,Sales  - Sales Representatives and Agents,Between 20 and 199,4,Yes,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 30%"," 50% - About half of my time"," 50% - About half of my time",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 20 %,1,8,1,1,0,8,3,1,"IT equipment (computer, printer, etc.)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
476,476,1959,Female,Education and Training,Clerical and administrative  - Personal Assistants and Secretaries,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 30%"," 30%"," 50% - About half of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Strongly agree,5,More Productive By 50 %,3,9,3,2,0.5,8,5,3,Management discourages remote working,Caring responsibilities,2020
477,477,1979,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro," 20%"," 20%"," 50% - About half of my time",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Level Of The Productivity Is The Same,1,7,4,4,1,8,3,4,"IT equipment (computer, printer, etc.)",Poor management,2020
478,478,1976,Male,Manufacturing,"Clerical and administrative  - General Clerical ",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 10%"," 50% - About half of my time"," 70%",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 30 %,3,7,3,3,0.5,8,4.5,4,Management discourages remote working,Lack of remote working skills,2020
479,479,1986,Female,Education and Training,Managers - Specialist Managers,More than 200,5,Yes,Single person,1,More than 5 years,3,Regional," 0% - Rarely or never"," 50% - About half of my time"," 30%",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,More Productive By 20 %,0.5,12,3,1,0,8,3,2,I have tasks that can't be done remotely,Caring responsibilities,2020
480,480,1964,Female,Health Care and Social Assistance,"Community and personal service  - Health and Welfare Support ",Between 5 and 19,3,No,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 0% - I would not have preferred to work remotely"," 0% - I would prefer not to work remotely",Strongly disagree,1,Strongly disagree,1,Strongly disagree,1,Less Productive By 50 %,1,9,3,2,0.5,6,3,2,Feeling left out and/or isolated,Caring responsibilities,2020
